"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0036891",4044.77155876892,-0.00340212708919176,0.0903330562978064,-0.0376620389990543,0.969957142999649,0.987953319181141
"FBgn0033117",345.429420240203,0.00528986812453903,0.140665103735937,0.0376061154049226,0.970001731984583,0.987953319181141
"FBgn0026238",959.405030747351,0.00578853917969446,0.153995813265467,0.0375889386662471,0.970015427356045,0.987953319181141
"FBgn0033925",324.636948759216,0.00545045040768075,0.14527890565866,0.0375171493959821,0.970072666531942,0.987953319181141
"FBgn0037526",248.583018784951,-0.00621627802812549,0.165755201677381,-0.0375027629010677,0.970084137221667,0.987953319181141
"FBgn0034356",17.8217942466261,0.0191894684267532,0.513292362079621,0.0373850652072953,0.970177980584863,0.987953319181141
"FBgn0263782",607.940626731747,0.00520131589441921,0.140100534249566,0.0371255964317305,0.970384863092198,0.988043307718571
"FBgn0029079",705.147380601571,0.00506678022491893,0.137596119442368,0.0368235691925973,0.970625681292394,0.988089279215524
"FBgn0050404",973.210338223988,-0.00395616650625299,0.107587302669382,-0.0367716859526665,0.970667050110968,0.988089279215524
"FBgn0027093",1605.27408010549,-0.00437627593370122,0.119881405071133,-0.0365050437230405,0.97087965708213,0.98818088798249
"FBgn0028506",645.742679666732,-0.00462154199692028,0.127099829522813,-0.0363615121615153,0.970994102717111,0.98818088798249
"FBgn0015320",1724.2085709037,0.00362110940719344,0.102645446083094,0.0352778378912403,0.971858195129696,0.988939554839043
"FBgn0025549",586.955369350061,-0.00479717303864269,0.138674343456988,-0.0345930827509604,0.972404217365353,0.989374415447272
"FBgn0024556",2941.28123413615,-0.00399704287797249,0.116246822209034,-0.0343841044599484,0.972570858780608,0.989423215332999
"FBgn0043010",545.649807373279,-0.00420525293398812,0.124127001944392,-0.0338786313059591,0.972973933152598,0.989606358447102
"FBgn0033607",859.964736508623,-0.00377346421623391,0.111969906036299,-0.0337007000346201,0.973115820744095,0.989606358447102
"FBgn0036918",874.190838514243,-0.0040211192086784,0.120140397319496,-0.0334701673907804,0.973299655470654,0.989606358447102
"FBgn0036058",2150.00866941996,0.003051745256333,0.0911891559563225,0.0334660982912784,0.973302900324508,0.989606358447102
"FBgn0250816",270.425494858282,0.00721572014399306,0.216001783773412,0.0334058359053295,0.973350955882148,0.989606358447102
"FBgn0039639",56.6948590965636,0.00984962815278653,0.297269268580619,0.0331336912147558,0.97356797578796,0.989606358447102
"FBgn0040366",79.7379990863297,-0.00812487689988901,0.245343200257677,-0.0331163728660737,0.973581786252025,0.989606358447102
"FBgn0085411",11.0082079327729,0.020333789868685,0.619853430750857,0.0328041902487395,0.973830736677401,NA
"FBgn0027090",1807.56478806904,-0.00307319621693766,0.0947484041572314,-0.0324353348668312,0.97412488415484,0.990037688552835
"FBgn0036090",301.728266180242,-0.00509015999581004,0.158698117259471,-0.0320744825692396,0.974412652897019,0.990112673910238
"FBgn0023143",12972.1537004686,-0.00282094184923719,0.0881057453137918,-0.0320176832871716,0.974457948902869,0.990112673910238
"FBgn0032234",626.404046020856,0.00477776177514616,0.149791640697635,0.031896050760205,0.974554948075736,0.990112673910238
"FBgn0033816",704.075742056668,-0.00370656140779971,0.117616916988099,-0.0315138459901543,0.974859750126384,0.990301661606392
"FBgn0262867",17.7361881655161,0.0160921437855477,0.518706632653415,0.0310235936317784,0.975250723729523,0.990578129109775
"FBgn0031868",1392.44958720993,0.00307458691528571,0.0999926541249731,0.0307481278719037,0.975470408797879,0.990680569880365
"FBgn0037536",1443.05721578488,-0.00333942674214601,0.11007221542072,-0.0303385075823359,0.975797086087206,0.99087172984549
"FBgn0030314",867.328955699363,0.00327967015577307,0.109061366409567,0.0300717867723814,0.976009801445222,0.99087172984549
"FBgn0051973",86.7046817791664,-0.0071062201613086,0.236933220869275,-0.0299925022554325,0.976073032815634,0.99087172984549
"FBgn0032341",1854.76108567315,0.00301966474400198,0.100938108389376,0.0299160029069834,0.976134043087563,0.99087172984549
"FBgn0265447",6.91493449080632,0.0286244037103922,0.973504006432401,0.0294034780763687,0.976542798901633,NA
"FBgn0002948",425.526833963184,0.00395500034079385,0.135340859561542,0.0292225153113901,0.976687124278453,0.99131246105545
"FBgn0267644",82.6523061980497,-0.0254201562651724,0.882670477625511,-0.0287991463513719,0.977024781711726,0.991428536164535
"FBgn0035064",424.176951110315,0.00369424271084837,0.128357391465945,0.028780911396353,0.977039325072307,0.991428536164535
"FBgn0053276",78.2935466266031,-0.00808525671133278,0.284976858601582,-0.0283716255102543,0.977365754650583,0.991525629376882
"FBgn0032293",333.087388657096,-0.00458439490497849,0.161634624203161,-0.0283627033971155,0.97737287060324,0.991525629376882
"FBgn0038196",687.646609133876,-0.00365662875386482,0.130336007660415,-0.0280553994211024,0.977617966163341,0.991653605536412
"FBgn0262117",1149.86944924803,-0.0038637575990207,0.140283013624894,-0.027542590504593,0.978026970409457,0.991947792251051
"FBgn0029804",10.2750568271326,0.0205663490753772,0.760846131356329,0.0270308913034945,0.978435095331035,NA
"FBgn0004370",2991.59548055141,0.0028649258384703,0.106610660592448,0.0268727894804288,0.978561196526183,0.992368896173067
"FBgn0051793",592.753466427364,0.00320953034373347,0.120279607428566,0.0266839110332115,0.97871184569942,0.992400955679405
"FBgn0031309",648.41949024799,-0.00348655210277526,0.133120300508822,-0.0261909873208571,0.97910500449422,0.992491507425645
"FBgn0027608",17.3557351455934,-0.0135227095457494,0.519468614529404,-0.0260318124474178,0.979231964379737,0.992491507425645
"FBgn0002526",122100.642729765,-0.00244741496951088,0.0940273150642803,-0.026028765873382,0.979234394370732,0.992491507425645
"FBgn0030959",315.030861772149,0.00518860417784978,0.199754309537359,0.0259749298519108,0.979277334782698,0.992491507425645
"FBgn0266719",863.483736437093,0.00311640300846522,0.121078738592061,0.0257386477981491,0.979465797573803,0.992561851753105
"FBgn0037661",240.26642992239,0.00499730154801892,0.195600519914217,0.025548508512199,0.979617456900974,0.9925948879659
"FBgn0083123",185.056517820849,0.00523995139250728,0.210829869241778,0.0248539327532293,0.980171472208313,0.992991666529316
"FBgn0035049",3658.39002293195,0.00342913926939868,0.139190027860581,0.0246363861126133,0.980344996179287,0.992991666529316
"FBgn0015279",3713.01628334569,-0.00226621016155344,0.0920864550300138,-0.0246095928094399,0.980366367662564,0.992991666529316
"FBgn0265822",10.0055507558411,-0.0190970586472308,0.798004600845484,-0.0239310132134545,0.98090763639509,NA
"FBgn0032822",103.692150992021,-0.00565292022012011,0.238029202269962,-0.0237488516795886,0.981052938973659,0.993566369317711
"FBgn0036652",11.3135955845715,0.0145077831668178,0.61740044383695,0.0234981741779395,0.981252894878925,NA
"FBgn0003416",1704.04950676422,0.00288740562099199,0.12302529007731,0.0234700167679143,0.981275355047379,0.993670914008259
"FBgn0032478",10.7669717630665,-0.0145214884861012,0.628609583258927,-0.0231009658026798,0.981569735293639,NA
"FBgn0030555",330.410463246354,0.0033103669888312,0.143747656721457,0.0230290153198516,0.981627128204651,0.993865720042939
"FBgn0034748",492.982690783869,-0.00295957672891188,0.129070379380219,-0.0229299452215406,0.981706153838743,0.993865720042939
"FBgn0030725",17.6468264753056,-0.0123795790941032,0.550912395333545,-0.0224710483898408,0.982072206204705,0.994115588043787
"FBgn0037150",316.443379148665,0.00330115525886873,0.148898851541573,0.0221704548066783,0.982311985444523,0.994237589249847
"FBgn0002542",1847.66791255773,0.00208107111691627,0.0945394320627417,0.0220127313176067,0.98243779987631,0.994244226458946
"FBgn0267201",11.0174432795454,0.013968692294425,0.635326906081619,0.0219866216285045,0.98245862735342,NA
"FBgn0027602",847.66542987349,0.00272866224289962,0.125012375420292,0.0218271369832454,0.982585847158645,0.994251058978292
"FBgn0017430",260.562923853744,-0.00360494020889004,0.168166392147907,-0.0214367458494286,0.982897261344775,0.994251058978292
"FBgn0050005",342.315910790016,0.00303753972502772,0.142269845299464,0.0213505519643604,0.982966018378443,0.994251058978292
"FBgn0050051",114.00397971665,-0.00563214522834968,0.26456879102552,-0.0212880181616221,0.983015901796575,0.994251058978292
"FBgn0033893",14.8391729878771,-0.0116093095775025,0.546146807482533,-0.0212567562758732,0.983040839529574,0.994251058978292
"FBgn0031318",2138.92748977701,0.00206334420012877,0.101301330711841,0.0203683819909347,0.983749506131733,0.994847117008765
"FBgn0039214",4916.76399006961,-0.00215378189467144,0.108909430048474,-0.019775899054038,0.984222143892411,0.99493159449584
"FBgn0044826",4073.49281300618,0.00188088916787679,0.0952562220231294,0.0197455780622927,0.984246331820598,0.99493159449584
"FBgn0053198",223.280950131639,0.00356369531760125,0.180706071368392,0.0197209495542416,0.98426597870129,0.99493159449584
"FBgn0000319",20449.4992177959,-0.00219933849745159,0.111838730958144,-0.0196652669304223,0.98431039839291,0.99493159449584
"FBgn0038923",239.753671534848,-0.00336313727483175,0.175100422609337,-0.0192069055272081,0.984676048805765,0.99501124628783
"FBgn0051159",207.579812140162,0.0036836954155747,0.193653471787891,0.0190220985018511,0.984823476542947,0.99501124628783
"FBgn0013812",16.0138974646963,-0.0105873112247358,0.557083017635555,-0.0190049075085288,0.984837190491992,0.99501124628783
"FBgn0052082",47.7275127179445,-0.00704430433376271,0.371377408943493,-0.0189680475013345,0.984866595222163,0.99501124628783
"FBgn0031286",462.870170617626,0.00246250184123716,0.131218888140072,0.0187663672215277,0.985027484164878,0.995053209194546
"FBgn0038361",11.9057521497996,-0.0110829543484056,0.593401369481264,-0.0186769948948618,0.985098780468644,NA
"FBgn0267703",15.7381053328614,0.00960959545451692,0.521460679194766,0.0184282263992674,0.985297234853106,0.995205118363259
"FBgn0033739",903.67742334896,0.00217858626951908,0.126544482370084,0.0172159720338317,0.986264320237328,0.996061252309946
"FBgn0053203",18.1342941174112,0.0085935818588537,0.510558678231687,0.0168317222392879,0.986570862791023,0.99609881301161
"FBgn0052076",586.570582127809,-0.00241678452376346,0.144277959596157,-0.0167508920317989,0.986635346874388,0.99609881301161
"FBgn0038639",427.508484453088,0.00243778650088112,0.145800165309882,0.0167200530650969,0.986659949364264,0.99609881301161
"FBgn0001089",16.6635255322695,0.00823329427963696,0.506700525893679,0.0162488370524497,0.987035874262272,0.996309257715956
"FBgn0038371",123.30176432382,-0.00330326140301009,0.204694015014827,-0.0161375573329334,0.987124650992095,0.996309257715956
"FBgn0015781",371.122968163918,0.00261912023154626,0.165530684443495,0.0158225663136209,0.987375945374544,0.996309257715956
"FBgn0266098",15.8279862930307,0.0101497213065701,0.652291130602209,0.0155601093290961,0.987585329971046,0.996309257715956
"FBgn0035627",247.885897236137,0.00272915825993464,0.17596506436704,0.0155096596574532,0.987625578128254,0.996309257715956
